module           : False
lamda            : 256
regularize_to    : other
attack_to        : other
loss_type        : sim
advtrain_type    : Rep
train_type       : contrastive
lr               : 0.1
lr_multiplier    : 15.0
decay            : 1e-06
dataset          : cifar-10
load_checkpoint  : ckpt_200epochs.t7
resume           : True
model            : ResNet18
name             : Run3
seed             : 0
batch_size       : 256
epoch            : 101
color_jitter_strength : 0.5
temperature      : 0.5
local_rank       : 0
ngpu             : 1
min              : 0.0
max              : 1.0
attack_type      : linf
epsilon          : 0.0314
alpha            : 0.007
k                : 7
random_start     : True
==> Preparing data..
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to ./Data/cifar-10-python.tar.gz
Extracting ./Data/cifar-10-python.tar.gz to ./Data
Files already downloaded and verified
==> Building model..
torch.Size([1, 512])
ResNet18 is loading ...
Representation attack info ...
Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_True
Using CUDA..
Training info...
results/log_Run3Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_Truecontrastive_ResNet18_cifar-10_b256_nGPU1_l256_0
Run3Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_Truecontrastive_ResNet18_cifar-10_b256_nGPU1_l256

Epoch: 0
 [==========================>...........................................................]  Step: 1s832ms | Tot: 1m50s | Loss: 10.540 | SimLoss: 10.520 | Adv: 0.02 61/196 
 [==========================>...........................................................]  Step: 1s834ms | Tot: 1m51s | Loss: 10.541 | SimLoss: 10.521 | Adv: 0.02 62/196 
 [===========================>..........................................................]  Step: 1s835ms | Tot: 1m53s | Loss: 10.542 | SimLoss: 10.522 | Adv: 0.02 63/196 
 [===========================>..........................................................]  Step: 1s835ms | Tot: 1m55s | Loss: 10.543 | SimLoss: 10.523 | Adv: 0.02 64/196 
 [============================>.........................................................]  Step: 1s836ms | Tot: 1m57s | Loss: 10.543 | SimLoss: 10.523 | Adv: 0.02 65/196 
 [============================>.........................................................]  Step: 1s835ms | Tot: 1m59s | Loss: 10.544 | SimLoss: 10.524 | Adv: 0.02 66/196 
 [============================>.........................................................]  Step: 1s830ms | Tot: 2m1s | Loss: 10.544 | SimLoss: 10.524 | Adv: 0.02 67/196 
 [=============================>........................................................]  Step: 1s831ms | Tot: 2m2s | Loss: 10.544 | SimLoss: 10.524 | Adv: 0.02 68/196 
 [=============================>........................................................]  Step: 1s832ms | Tot: 2m4s | Loss: 10.545 | SimLoss: 10.524 | Adv: 0.02 69/196 
 [==============================>.......................................................]  Step: 1s830ms | Tot: 2m6s | Loss: 10.545 | SimLoss: 10.525 | Adv: 0.02 70/196 
 [==============================>.......................................................]  Step: 1s831ms | Tot: 2m8s | Loss: 10.545 | SimLoss: 10.525 | Adv: 0.02 71/196 
 [===============================>......................................................]  Step: 1s833ms | Tot: 2m10s | Loss: 10.546 | SimLoss: 10.526 | Adv: 0.02 72/196 
 [===============================>......................................................]  Step: 1s830ms | Tot: 2m12s | Loss: 10.546 | SimLoss: 10.526 | Adv: 0.02 73/196 
 [================================>.....................................................]  Step: 1s831ms | Tot: 2m13s | Loss: 10.545 | SimLoss: 10.525 | Adv: 0.02 74/196 
 [================================>.....................................................]  Step: 1s830ms | Tot: 2m15s | Loss: 10.545 | SimLoss: 10.525 | Adv: 0.02 75/196 
 [================================>.....................................................]  Step: 1s831ms | Tot: 2m17s | Loss: 10.544 | SimLoss: 10.524 | Adv: 0.02 76/196 
 [=================================>....................................................]  Step: 1s832ms | Tot: 2m19s | Loss: 10.545 | SimLoss: 10.525 | Adv: 0.02 77/196 
 [=================================>....................................................]  Step: 1s831ms | Tot: 2m21s | Loss: 10.544 | SimLoss: 10.524 | Adv: 0.02 78/196 
 [==================================>...................................................]  Step: 1s831ms | Tot: 2m23s | Loss: 10.546 | SimLoss: 10.525 | Adv: 0.02 79/196 
 [==================================>...................................................]  Step: 1s833ms | Tot: 2m24s | Loss: 10.546 | SimLoss: 10.526 | Adv: 0.02 80/196 
 [===================================>..................................................]  Step: 1s831ms | Tot: 2m26s | Loss: 10.545 | SimLoss: 10.525 | Adv: 0.02 81/196 
 [===================================>..................................................]  Step: 1s829ms | Tot: 2m28s | Loss: 10.545 | SimLoss: 10.525 | Adv: 0.02 82/196 
 [===================================>..................................................]  Step: 1s830ms | Tot: 2m30s | Loss: 10.545 | SimLoss: 10.525 | Adv: 0.02 83/196 
 [====================================>.................................................]  Step: 1s833ms | Tot: 2m32s | Loss: 10.545 | SimLoss: 10.525 | Adv: 0.02 84/196 
 [====================================>.................................................]  Step: 1s830ms | Tot: 2m34s | Loss: 10.544 | SimLoss: 10.523 | Adv: 0.02 85/196 
 [=====================================>................................................]  Step: 1s830ms | Tot: 2m35s | Loss: 10.543 | SimLoss: 10.523 | Adv: 0.02 86/196 
 [=====================================>................................................]  Step: 1s832ms | Tot: 2m37s | Loss: 10.544 | SimLoss: 10.524 | Adv: 0.02 87/196 
 [======================================>...............................................]  Step: 1s830ms | Tot: 2m39s | Loss: 10.545 | SimLoss: 10.524 | Adv: 0.02 88/196 
 [======================================>...............................................]  Step: 1s829ms | Tot: 2m41s | Loss: 10.544 | SimLoss: 10.524 | Adv: 0.02 89/196 
 [=======================================>..............................................]  Step: 1s831ms | Tot: 2m43s | Loss: 10.544 | SimLoss: 10.524 | Adv: 0.02 90/196 
 [=======================================>..............................................]  Step: 1s830ms | Tot: 2m45s | Loss: 10.544 | SimLoss: 10.523 | Adv: 0.02 91/196 
 [=======================================>..............................................]  Step: 1s831ms | Tot: 2m46s | Loss: 10.544 | SimLoss: 10.524 | Adv: 0.02 92/196 
 [========================================>.............................................]  Step: 1s830ms | Tot: 2m48s | Loss: 10.545 | SimLoss: 10.524 | Adv: 0.02 93/196 
 [========================================>.............................................]  Step: 1s831ms | Tot: 2m50s | Loss: 10.545 | SimLoss: 10.524 | Adv: 0.02 94/196 
 [=========================================>............................................]  Step: 1s832ms | Tot: 2m52s | Loss: 10.546 | SimLoss: 10.525 | Adv: 0.02 95/196 
 [=========================================>............................................]  Step: 1s829ms | Tot: 2m54s | Loss: 10.545 | SimLoss: 10.525 | Adv: 0.02 96/196 
 [==========================================>...........................................]  Step: 1s829ms | Tot: 2m56s | Loss: 10.546 | SimLoss: 10.525 | Adv: 0.02 97/196 
 [==========================================>...........................................]  Step: 1s832ms | Tot: 2m57s | Loss: 10.547 | SimLoss: 10.526 | Adv: 0.02 98/196 
 [===========================================>..........................................]  Step: 1s830ms | Tot: 2m59s | Loss: 10.547 | SimLoss: 10.527 | Adv: 0.02 99/196 
 [===========================================>..........................................]  Step: 1s828ms | Tot: 3m1s | Loss: 10.548 | SimLoss: 10.527 | Adv: 0.02 100/196 
